test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,get_product_list,00:00:29,global information,1057,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_single_product,00:00:29,global information,5921,60,5861,2.1,22306.52,33255.29,35865.29,35454.98,35651.58,35848.19,35880.96,3770.96,0.272,0.318,0.401,0.0
