test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,get_product_list,00:02:00,global information,17877,17877,0,149,0.72,2.72,85.54,2.19,2.92,5.01,9.76,3.16,0.256,0.766,1.478,13.4
nbomber_default_test_suite_name,nbomber_default_test_name,get_single_product,00:02:00,global information,35999,35999,0,300,0.7,2.91,96.46,2.27,3.3,5.74,11.34,3.08,0.272,0.32,0.401,11.3
